fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_RESULT_MSG,BUS_STN_ID,BUS_ARS_ID,BUS_STN_NM,BUS_STN_X,BUS_STN_Y
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000297,2710,광희동더스프라지르서울동대문,127.0075552593,37.5647333277
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000296,2711,동대문디자인플라자DDP,127.009213839,37.5678529085
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000324,2908,동대문디자인플라자.동대문시장,127.0085549376,37.5668754028
2026-06-18T01:25:41.128559+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,정상 호출되었습니다.,101000308,2920,동대문디자인프라자,127.0091304267,37.5677625606
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000313,1912,종각역,126.9828944171,37.5693799579
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000303,2100,서울시청,126.9806320857,37.5661382638
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000029,2124,숭례문.남대문시장8번출입구,126.9759976615,37.5588723988
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000031,2126,남대문시장.신세계앞,126.9800597585,37.561191081
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000032,2127,북창동.남대문시장,126.978555,37.561273
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000036,2133,시청역9번출구.시청서소문2청사,126.9746522037,37.5631901447
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000037,2134,시청역11번출구,126.975314,37.563722
