fetched_at,place_name,AREA_NM,AREA_CD,_key_used
2026-06-27T00:05:06.108194+09:00,북서울꿈의숲,북서울꿈의숲,POI096,KEY_1
2026-06-27T00:05:06.108194+09:00,서대문독립공원,서대문독립공원,POI124,KEY_2
2026-06-27T00:05:06.108194+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3
2026-06-27T00:05:06.108194+09:00,서울대공원,서울대공원,POI100,KEY_4
2026-06-27T00:05:06.108194+09:00,서울숲공원,서울숲공원,POI101,KEY_1
2026-06-27T00:05:06.108194+09:00,송현녹지광장,송현녹지광장,POI129,KEY_2
2026-06-27T00:05:06.108194+09:00,아차산,아차산,POI102,KEY_3
2026-06-27T00:05:06.108194+09:00,안양천,안양천,POI125,KEY_4
2026-06-27T00:05:06.108194+09:00,양화한강공원,양화한강공원,POI103,KEY_1
2026-06-27T00:05:06.108194+09:00,어린이대공원,어린이대공원,POI104,KEY_2
2026-06-27T00:05:06.108194+09:00,여의도한강공원,여의도한강공원,POI105,KEY_3
2026-06-27T00:05:06.108194+09:00,여의서로,여의서로,POI126,KEY_4
2026-06-27T00:05:06.108194+09:00,올림픽공원,올림픽공원,POI127,KEY_1
2026-06-27T00:05:06.108194+09:00,월드컵공원,월드컵공원,POI106,KEY_2
2026-06-27T00:05:06.108194+09:00,응봉산,응봉산,POI107,KEY_3
2026-06-27T00:05:06.108194+09:00,이촌한강공원,이촌한강공원,POI108,KEY_4
2026-06-27T00:05:06.108194+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1
2026-06-27T00:05:06.108194+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2
2026-06-27T00:05:06.108194+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3
2026-06-27T00:05:06.108194+09:00,청계산,청계산,POI112,KEY_4
2026-06-27T00:05:06.108194+09:00,홍제폭포,홍제폭포,POI128,KEY_1
2026-06-27T00:05:06.108194+09:00,가락시장,가락시장,POI058,KEY_2
2026-06-27T00:05:06.108194+09:00,가로수길,가로수길,POI059,KEY_3
2026-06-27T00:05:06.108194+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4
2026-06-27T00:05:06.108194+09:00,김포공항,김포공항,POI061,KEY_1
2026-06-27T00:05:06.108194+09:00,남대문시장,남대문시장,POI115,KEY_2
2026-06-27T00:05:06.108194+09:00,노량진,노량진,POI063,KEY_3
2026-06-27T00:05:06.108194+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4
2026-06-27T00:05:06.108194+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1
2026-06-27T00:05:06.108194+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2
2026-06-27T00:05:06.108194+09:00,서촌,서촌,POI067,KEY_3
2026-06-27T00:05:06.108194+09:00,성수카페거리,성수카페거리,POI068,KEY_4
2026-06-27T00:05:06.108194+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1
2026-06-27T00:05:06.108194+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2
2026-06-27T00:05:06.108194+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3
2026-06-27T00:05:06.108194+09:00,여의도,여의도,POI072,KEY_4
2026-06-27T00:05:06.108194+09:00,연남동,연남동,POI073,KEY_1
