fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SUB_STN_NM,SUB_STN_LINE,SUB_STN_RADDR,SUB_STN_JIBUN,SUB_STN_X,SUB_STN_Y,SUB_FACIINFO,SUB_DETAIL
2026-06-12T00:22:23.638213+09:00,용리단길,용리단길,POI076,KEY_3,삼각지,4,서울특별시 용산구 한강대로 지하180(한강로1가),,126.9726,37.534075,,
2026-06-12T00:22:23.638213+09:00,용리단길,용리단길,POI076,KEY_3,신용산,4,서울특별시 용산구 한강대로 지하112(한강로2가),,126.967894,37.52917,,
2026-06-12T00:22:23.638213+09:00,용리단길,용리단길,POI076,KEY_3,삼각지,6,서울특별시 용산구 한강대로 지하185(한강로1가),,126.974032,37.535534,,
2026-06-12T00:22:23.638213+09:00,익선동,익선동,POI116,KEY_1,종로3가,3,서울특별시 종로구 돈화문로 지하30(묘동),,126.991791,37.571605,,
2026-06-12T00:22:23.638213+09:00,익선동,익선동,POI116,KEY_1,종로3가,5,서울특별시 종로구 돈화문로11길 지하 26(돈의동),,126.990305,37.57254,,
2026-06-12T00:22:23.638213+09:00,익선동,익선동,POI116,KEY_1,종로3가,1,서울특별시 종로구 종로 지하129(종로3가),,126.991847,37.570406,,
2026-06-12T00:22:23.638213+09:00,인사동,인사동,POI078,KEY_2,안국,3,서울특별시 종로구 율곡로 지하62(안국동),,126.985443,37.576477,,
2026-06-12T00:22:23.638213+09:00,인사동,인사동,POI078,KEY_2,종각,1,서울특별시 종로구 종로 지하55(종로1가),,126.982923,37.570161,,
2026-06-12T00:22:23.638213+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,몽촌토성(평화의문),8,서울특별시 송파구 올림픽로 지하383(신천동),,127.112359,37.517409,,
2026-06-12T00:22:23.638213+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,잠실,8,서울특별시 송파구 올림픽로 305(신천동),,127.104338,37.514692,,
2026-06-12T00:22:23.638213+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,잠실,2,서울특별시 송파구 올림픽로 지하265(신천동),,127.100159,37.513262,,
2026-06-12T00:22:23.638213+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,노원,4,서울특별시 노원구 상계로 69-1(상계동),,127.063276,37.65627,,
2026-06-12T00:22:23.638213+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,창동,4,서울특별시 도봉구 마들로11길 77(창동),,127.047274,37.653088,,
2026-06-12T00:22:23.638213+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,노원,7,서울특별시 노원구 동일로 지하1409(상계동),,127.060462,37.654836,,
2026-06-12T00:22:23.638213+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,청량리,1,서울특별시 동대문구 왕산로 지하205(전농동),,127.044585,37.579956,,
2026-06-12T00:22:23.638213+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,제기동,1,서울특별시 동대문구 왕산로 지하93(제기동),,127.034893,37.578103,,
2026-06-12T00:22:23.638213+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4,동대문역사문화공원,2,서울특별시 중구 을지로 지하279(을지로7가),,127.009054,37.565613,,
2026-06-12T00:22:23.638213+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4,동대문역사문화공원,4,서울특별시 중구 장충단로 지하230(광희동2가),,127.007885,37.565133,,
2026-06-12T00:22:23.638213+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4,동대문역사문화공원,5,서울특별시 중구 마른내로 지하162(광희동1가),,127.005353,37.564665,,
2026-06-12T00:22:23.638213+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1,디지털미디어시티,6,서울특별시 은평구 수색로 지하175(증산동),,126.901391,37.576108,,
2026-06-12T00:22:23.638213+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1,디지털미디어시티,경의중앙,서울시 은평구 수색로 193(수색동 37-2),,126.900453,37.577475,,
2026-06-12T00:22:23.638213+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1,수색,경의중앙,서울시 은평구 수색로 261-1,,126.895611,37.580842,,
2026-06-12T00:22:23.638213+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1,디지털미디어시티,공항철도,서울특별시 마포구 성암로 184,,126.898609,37.576958,,
2026-06-12T00:22:23.638213+09:00,강남역,강남역,POI014,KEY_3,신논현,9,서울특별시 강남구 봉은사로 지하102,,127.02506,37.504598,,
2026-06-12T00:22:23.638213+09:00,강남역,강남역,POI014,KEY_3,강남,2,서울특별시 강남구 강남대로 지하396(역삼동),,127.027912,37.49799,,
2026-06-12T00:22:23.638213+09:00,강남역,강남역,POI014,KEY_3,신논현,신분당선,서울특별시 강남구 강남대로 302-2,,127.02506,37.504598,,
2026-06-12T00:22:23.638213+09:00,강남역,강남역,POI014,KEY_3,강남,신분당선,서울특별시 강남구 강남대로 지하 396,,127.028104,37.496837,,
2026-06-12T00:22:23.638213+09:00,건대입구역,건대입구역,POI015,KEY_4,건대입구,7,서울특별시 광진구 능동로 지하110(화양동),,127.071011,37.540786,,
2026-06-12T00:22:23.638213+09:00,건대입구역,건대입구역,POI015,KEY_4,건대입구,2,서울특별시 광진구 아차산로 243(화양동),,127.069191,37.540373,,
2026-06-12T00:22:23.638213+09:00,고속터미널역,고속터미널역,POI017,KEY_2,고속터미널,3,서울특별시 서초구 신반포로 지하188(반포동),,127.004916,37.504891,,
2026-06-12T00:22:23.638213+09:00,고속터미널역,고속터미널역,POI017,KEY_2,고속터미널,7,서울특별시 서초구 신반포로 지하188(반포동),,127.005068,37.503367,,
2026-06-12T00:22:23.638213+09:00,고속터미널역,고속터미널역,POI017,KEY_2,고속터미널,9,서울특별시 서초구 신반포로 지하188,,127.004403,37.50598,,
2026-06-12T00:22:23.638213+09:00,교대역,교대역,POI018,KEY_3,교대,3,서울특별시 서초구 서초대로 지하294(서초동),,127.013786,37.493025,,
2026-06-12T00:22:23.638213+09:00,교대역,교대역,POI018,KEY_3,교대,2,서울특별시 서초구 서초대로 지하294(서초동),,127.014667,37.493961,,
2026-06-12T00:22:23.638213+09:00,군자역,군자역,POI021,KEY_2,군자(능동),7,서울특별시 광진구 천호대로 지하550(능동),,127.079338,37.556897,,
2026-06-12T00:22:23.638213+09:00,군자역,군자역,POI021,KEY_2,군자(능동),5,서울특별시 광진구 천호대로 지하550(능동),,127.079577,37.557088,,
2026-06-12T00:22:23.638213+09:00,대림역,대림역,POI023,KEY_3,대림,7,서울특별시 영등포구 도림로 지하137(대림동),,126.897075,37.493013,,
2026-06-12T00:22:23.638213+09:00,대림역,대림역,POI023,KEY_3,대림,2,서울특별시 구로구 도림천로 351(구로동),,126.894932,37.493243,,
2026-06-12T00:22:23.638213+09:00,동대문역,동대문역,POI024,KEY_4,동대문,4,서울특별시 종로구 율곡로 지하308(종로6가),,127.009287,37.57093,,
2026-06-12T00:22:23.638213+09:00,동대문역,동대문역,POI024,KEY_4,동대문,1,서울특별시 종로구 종로 지하302(창신동),,127.01093,37.571687,,
