fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__SENSIBLE_TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST,WEATHER_STTS__FCST24HOURS
2026-05-14T00:11:23.979686+09:00,홍제폭포,홍제폭포,POI128,KEY_1,2026-05-14 00:10,15.8,18.0,31.0,15.0,86,N,0.2,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,21,보통,57.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,가락시장,가락시장,POI058,KEY_2,2026-05-14 00:10,18.8,19.7,31.0,16.0,65,ESE,1.1,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,좋음,19,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,가로수길,가로수길,POI059,KEY_3,2026-05-14 00:10,18.3,19.6,31.0,16.0,72,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,19,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,김포공항,김포공항,POI061,KEY_1,2026-05-14 00:10,16.8,18.6,31.0,14.0,80,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,5,좋음,11,보통,65.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,남대문시장,남대문시장,POI115,KEY_2,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,7,좋음,17,좋음,46.0,,대기질에 이상이 없어요.,,
2026-05-14T00:11:23.979686+09:00,노량진,노량진,POI063,KEY_3,2026-05-14 00:10,17.7,18.6,31.0,15.0,66,SE,1.0,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,23,보통,51.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,7,좋음,17,좋음,46.0,,대기질에 이상이 없어요.,,
2026-05-14T00:11:23.979686+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,서촌,서촌,POI067,KEY_3,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,성수카페거리,성수카페거리,POI068,KEY_4,2026-05-14 00:10,18.3,19.6,31.0,16.0,72,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,3,좋음,15,보통,57.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,2026-05-14 00:10,18.8,19.7,31.0,16.0,65,ESE,1.1,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,좋음,19,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
